dt,A1,A2,A3
2003-09-22,100.92,44.38,50.1
2003-09-23,101.04,44.38,50.1
2003-09-24,101.4,44.38,50.1
2003-09-25,101.53,44.38,50.1
2003-09-26,102.45,44.38,50.1
2003-09-29,102.17,44.38,50.1
2003-09-30,102.7,44.38,50.1
2003-10-01,102.65,44.38,50.1
2003-10-02,102.49,44.38,50.1
2003-10-03,101.75,44.38,50.1
2003-10-06,101.9,44.38,50.1
2003-10-07,101.55,44.38,50.1
2003-10-08,101.8,44.38,50.1
2003-10-09,101.44,44.38,50.1
2003-10-10,102,44.38,50.1
2003-10-13,101.55,44.38,50.1
2003-10-14,101.35,44.38,50.1
2003-10-15,101.1,44.38,50.1
2003-10-16,100.83,44.38,50.1
2003-10-17,101.31,44.38,50.1
2003-10-20,101.25,44.38,50.1
2003-10-21,101.45,44.38,50.1
2003-10-22,101.9,44.38,50.1
2003-10-23,101.65,44.38,50.1
2003-10-24,102.15,44.38,50.1
2003-10-27,101.95,44.38,50.1
2003-10-28,102.35,44.38,50.1
2003-10-29,101.9,44.38,50.1
2003-10-30,101.9,44.38,50.1
2003-10-31,101.74,44.38,50.1
2003-11-03,101.2,44.38,50.1
2003-11-04,101.4,44.38,50.1
2003-11-05,101.4,44.38,50.1
2003-11-06,100.85,44.38,50.1
2003-11-07,100.9,44.38,50.1
2003-11-10,101.09,44.38,50.1
2003-11-11,100.91,44.38,50.1
2003-11-12,101.1,44.38,50.1
2003-11-13,101.84,44.38,50.1
2003-11-14,101.92,44.38,50.1
2003-11-17,102.35,44.38,50.1
2003-11-18,102.3,44.38,50.1
2003-11-19,101.82,44.38,50.1
2003-11-20,102.17,44.38,50.1
2003-11-21,102.28,44.38,50.1
2003-11-24,101.85,44.38,50.1
2003-11-25,102.25,44.38,50.1
2003-11-26,101.88,44.38,50.1
2003-11-27,101.88,44.38,50.1
2003-11-28,101.72,44.38,50.1
2003-12-01,101.17,44.38,50.1
2003-12-02,101.14,44.38,50.1
2003-12-03,101.24,44.38,50.1
2003-12-04,101.39,44.38,50.1
2003-12-05,101.9,44.38,50.1
2003-12-08,101.9,44.38,50.1
2003-12-09,101.33,44.38,50.1
2003-12-10,101.73,44.38,50.1
2003-12-11,102.09,44.38,50.1
2003-12-12,102.15,44.38,50.1
2003-12-15,102.09,44.38,50.1
2003-12-16,102.15,44.38,50.1
2003-12-17,102.4,44.38,50.1
2003-12-18,102.55,44.38,50.1
2003-12-19,102.6,44.38,50.1
2003-12-22,102.55,44.38,50.1
2003-12-23,102.15,44.38,50.1
2003-12-24,102.23,44.38,50.1
2003-12-25,102.23,44.38,50.1
2003-12-26,102.74,44.38,50.1
2003-12-29,102.49,44.38,50.1
2003-12-30,102.3,44.38,50.1
2003-12-31,102.15,44.38,50.1
2004-01-01,102.15,44.38,50.1
2004-01-02,101.57,44.38,50.1
2004-01-05,101.69,44.38,50.1
2004-01-06,102.15,44.38,50.1
2004-01-07,102.38,44.38,50.1
2004-01-08,102.35,44.38,50.1
2004-01-09,103.2,44.38,50.1
2004-01-12,102.91,44.38,50.1
2004-01-13,103.15,44.38,50.1
2004-01-14,103.14,44.38,50.1
2004-01-15,103.27,44.38,50.1
2004-01-16,103.19,44.38,50.1
2004-01-19,103.19,44.38,50.1
2004-01-20,103.1,44.38,50.1
2004-01-21,103.17,44.38,50.1
2004-01-22,103.35,44.38,50.1
2004-01-23,103.1,44.38,50.1
2004-01-26,102.7,44.38,50.1
2004-01-27,102.85,44.38,50.1
2004-01-28,102.64,44.38,50.1
2004-01-29,102.4,44.38,50.1
2004-01-30,102.6,44.38,50.1
2004-02-02,102.35,44.38,50.1
2004-02-03,102.63,44.38,50.1
2004-02-04,102.64,44.38,50.1
2004-02-05,102.35,44.38,50.1
2004-02-06,102.77,44.38,50.1
2004-02-09,102.84,44.38,50.1
2004-02-10,102.62,44.38,50.1
2004-02-11,103.02,44.38,50.1
2004-02-12,103.03,44.38,50.1
2004-02-13,103.49,44.38,50.1
2004-02-16,103.49,44.38,50.1
2004-02-17,103.24,44.38,50.1
2004-02-18,103.16,44.38,50.1
2004-02-19,103.27,44.38,50.1
2004-02-20,102.95,44.38,50.1
2004-02-23,103.23,44.38,50.1
2004-02-24,103.14,44.38,50.1
2004-02-25,103.38,44.38,50.1
2004-02-26,103.21,44.38,50.1
2004-02-27,103.49,44.38,50.1
2004-03-01,102.97,44.38,50.1
2004-03-02,102.93,44.38,50.1
2004-03-03,102.82,44.38,50.1
2004-03-04,103.07,44.38,50.1
2004-03-05,103.83,44.38,50.1
2004-03-08,104.18,44.38,50.1
2004-03-09,104.33,44.38,50.1
2004-03-10,104.21,44.38,50.1
2004-03-11,104.44,44.38,50.1
2004-03-12,104.12,44.38,50.1
2004-03-15,104.14,44.38,50.1
2004-03-16,104.39,44.38,50.1
2004-03-17,104.34,44.38,50.1
2004-03-18,104.24,44.38,50.1
2004-03-19,104.13,44.38,50.1
2004-03-22,104.4,44.38,50.1
2004-03-23,104.41,44.38,50.1
2004-03-24,104.47,44.38,50.1
2004-03-25,104.41,44.38,50.1
2004-03-26,104.05,44.38,50.1
2004-03-29,103.86,44.38,50.1
2004-03-30,103.45,44.38,50.1
2004-03-31,103.95,44.38,50.1
2004-04-01,103.52,44.38,50.1
2004-04-02,102.79,44.38,50.1
2004-04-05,102.16,44.38,50.1
2004-04-06,102.45,44.38,50.1
2004-04-07,102.2,44.38,50.1
2004-04-08,102.26,44.38,50.1
2004-04-09,102.26,44.38,50.1
2004-04-12,102.23,44.38,50.1
2004-04-13,102.05,44.38,50.1
2004-04-14,101.75,44.38,50.1
2004-04-15,101.6,44.38,50.1
2004-04-16,101.88,44.38,50.1
2004-04-19,101.75,44.38,50.1
2004-04-20,101.42,44.38,50.1
2004-04-21,101.18,44.38,50.1
2004-04-22,101.55,44.38,50.1
2004-04-23,101.34,44.38,50.1
2004-04-26,101.32,44.38,50.1
2004-04-27,101.57,44.38,50.1
2004-04-28,101.1,44.38,50.1
2004-04-29,100.76,44.38,50.1
2004-04-30,100.78,44.38,50.1
2004-05-03,100.5,44.38,50.1
2004-05-04,100.54,44.38,50.1
2004-05-05,100.41,44.38,50.1
2004-05-06,100.1,44.38,50.1
2004-05-07,99.25,44.38,50.1
2004-05-10,99.1,44.38,50.1
2004-05-11,99.35,44.38,50.1
2004-05-12,99.21,44.38,50.1
2004-05-13,99.19,44.38,50.1
2004-05-14,99.21,44.38,50.1
2004-05-17,99.71,44.38,50.1
2004-05-18,99.76,44.38,50.1
2004-05-19,99.59,44.38,50.1
2004-05-20,99.86,44.38,50.1
2004-05-21,99.7,44.38,50.1
2004-05-24,99.78,44.38,50.1
2004-05-25,99.75,44.38,50.1
2004-05-26,100,44.38,50.1
2004-05-27,100.48,44.38,50.1
2004-05-28,100.13,44.38,50.1
2004-05-31,100.13,44.38,50.1
2004-06-01,99.64,44.38,50.1
2004-06-02,99.74,44.38,50.1
2004-06-03,99.7,44.38,50.1
2004-06-04,99.49,44.38,50.1
